信息：: 1703 mini-second(s) publishing element Activity:ongoing_management_and_support[core.base_rup\deliveryprocesses\ongoing_management_and_support_5366B36C.html]
信息：Activity:ongoing_management_and_support: 1703 mini seconds publishing element
信息：: 2203 mini-second(s) publishing element Activity:manage_iteration[core.base_rup\capabilitypatterns\manage_iteration_FC22F596.html]
信息：Activity:manage_iteration: 2203 mini seconds publishing element
信息：: 1687 mini-second(s) publishing element Activity:monitor_control_project[core.base_rup\capabilitypatterns\monitor_control_project_129C1475.html]
信息：Activity:monitor_control_project: 1719 mini seconds publishing element
信息：: 1360 mini-second(s) publishing element Activity:manage_changing_requirements[core.base_rup\capabilitypatterns\manage_changing_requirements_E2D15960.html]
信息：Activity:manage_changing_requirements: 1360 mini seconds publishing element
信息：: 2406 mini-second(s) publishing element TaskDescriptor:structure_use_case_model[core.base_rup\capabilitypatterns\structure_use_case_model_5A6AA6D8.html]
信息：TaskDescriptor:structure_use_case_model: 2406 mini seconds publishing element
信息：TaskDescriptor:review_requirements: 109 mini seconds publishing element
信息：: 1406 mini-second(s) publishing element Activity:manage_change_requests[core.base_rup\capabilitypatterns\manage_change_requests_118544AB.html]
信息：Activity:manage_change_requests: 1422 mini seconds publishing element
信息：TaskDescriptor:submit_change_request: 110 mini seconds publishing element
信息：TaskDescriptor:review_change_request: 78 mini seconds publishing element
信息：TaskDescriptor:confirm_duplicate_or_rejected_cr: 203 mini seconds publishing element
信息：TaskDescriptor:schedule_and_assign_work: 204 mini seconds publishing element
信息：Activity:support_environment_during_an_iteration: 828 mini seconds publishing element
信息：TaskDescriptor:support_development: 47 mini seconds publishing element
信息：: 1906 mini-second(s) publishing element Activity:refine_the_system_definition[core.base_rup\capabilitypatterns\refine_the_system_definition_35160221.html]
信息：Activity:refine_the_system_definition: 1921 mini seconds publishing element
信息：TaskDescriptor:detail_a_use_case: 125 mini seconds publishing element
信息：TaskDescriptor:develop_supplementary_specification: 297 mini seconds publishing element
信息：TaskDescriptor:detail_software_requirements: 110 mini seconds publishing element
信息：: 1297 mini-second(s) publishing element Activity:define_a_candidate_architecture[core.base_rup\capabilitypatterns\define_a_candidate_architecture_4DCF8A8E.html]
信息：Activity:define_a_candidate_architecture: 1297 mini seconds publishing element
信息：TaskDescriptor:architectural_analysis: 218 mini seconds publishing element
信息：TaskDescriptor:use_case_analysis: 297 mini seconds publishing element
信息：: 2125 mini-second(s) publishing element Activity:refine_the_architecture[core.base_rup\capabilitypatterns\refine_the_architecture_9EF2AA31.html]
信息：Activity:refine_the_architecture: 2141 mini seconds publishing element
信息：TaskDescriptor:identify_design_mechanisms: 94 mini seconds publishing element
信息：TaskDescriptor:identify_design_elements: 562 mini seconds publishing element
信息：TaskDescriptor:incorporate_design_elements: 235 mini seconds publishing element
信息：TaskDescriptor:structure_implementation_model: 234 mini seconds publishing element
信息：TaskDescriptor:describe_runtime_architecture: 250 mini seconds publishing element
信息：TaskDescriptor:describe_distribution: 125 mini seconds publishing element
信息：TaskDescriptor:review_the_architecture: 156 mini seconds publishing element
信息：: 2688 mini-second(s) publishing element Activity:develop_components_within_scope[core.base_rup\capabilitypatterns\develop_components_within_scope_821409E3.html]
信息：Activity:develop_components_within_scope: 2703 mini seconds publishing element
信息：: 1422 mini-second(s) publishing element Activity:analyze_behavior[core.base_rup\capabilitypatterns\analyze_behavior_28F55487.html]
信息：Activity:analyze_behavior: 1422 mini seconds publishing element
信息：TaskDescriptor:identify_design_elements: 266 mini seconds publishing element
信息：TaskDescriptor:use_case_analysis: 265 mini seconds publishing element
信息：TaskDescriptor:design_user_interface: 94 mini seconds publishing element
信息：TaskDescriptor:prototype_user_interface: 94 mini seconds publishing element
信息：TaskDescriptor:review_the_design: 375 mini seconds publishing element
信息：: 1391 mini-second(s) publishing element Activity:design_components[core.base_rup\capabilitypatterns\design_components_B496820.html]
信息：Activity:design_components: 1391 mini seconds publishing element
信息：: 1328 mini-second(s) publishing element TaskDescriptor:use_case_design[core.base_rup\capabilitypatterns\use_case_design_7A33E90E.html]
信息：TaskDescriptor:use_case_design: 1328 mini seconds publishing element
信息：TaskDescriptor:subsystem_design: 562 mini seconds publishing element
信息：TaskDescriptor:class_design: 562 mini seconds publishing element
信息：TaskDescriptor:review_the_design: 235 mini seconds publishing element
